"","1_29_5","Andrena_sp.","Bee_4.19.5","Black_small_fly","Bombyliidae","Brassicogethes_sp.","Cerambycidae","Cryptocephalus_sp.","Cylindromyia_sp.","Dilophus_sp.","Elateridae","Eristalis_sp.","Mordellidae","Musca_jar_H","Musca_sp.","Oedemeridae","Psilothrix_viridicoerulea","Red_black_fly_6.19.5","Small bee 1_8_6","Sphaerophoria_scripta","Ulidiidae"
"A1 LEMA",0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A2 LEMA",0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"A3 LEMA",0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
"A4 LEMA",0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A5 LEMA",0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"A6 LEMA",0,0,0,0,3,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"B1 LEMA",0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B2 LEMA",0,0,0,0,5,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"B3 LEMA",0,0,0,0,0,8,0,0,0,0,1,0,0,0,2,0,2,0,0,0,0
"B4 LEMA",0,0,0,0,0,11,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0
"B5 LEMA",0,0,0,0,0,8,0,0,0,0,0,0,0,0,2,1,4,0,0,0,0
"B6 LEMA",0,0,0,0,0,5,0,0,0,0,0,0,0,4,1,0,1,0,0,0,0
"C2 LEMA",0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
"C3 LEMA",0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0
"C4 LEMA",0,0,0,0,0,3,0,0,0,1,0,0,0,0,3,0,1,0,0,0,0
"C5 LEMA",0,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"C6 LEMA",0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"D1 LEMA",0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"D2 LEMA",1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"D3 LEMA",0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"D4 LEMA",0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"D5 LEMA",1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"D6 LEMA",0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
"E1 LEMA",0,0,0,0,0,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"E2 LEMA",0,0,0,0,0,6,0,0,0,0,0,0,0,0,2,0,2,0,0,1,0
"E3 LEMA",0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"E4 LEMA",0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"E5 LEMA",1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
"E6 LEMA",0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"F1 LEMA",0,0,0,0,0,4,0,1,0,0,0,0,0,2,0,3,0,0,0,0,1
"F2 LEMA",0,0,4,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"F3 LEMA",0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"F4 LEMA",0,0,0,0,0,6,1,0,0,0,0,1,0,0,3,0,2,0,0,0,0
"F5 LEMA",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"F6 LEMA",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
