"","Andrena_cinerea","Cantharidae","Chrysotoxum_sp.","Coleoptera","Dilophus_sp.","Diptera","Eristalis_sp.","Eucera_sp.","Eupeodes_corollae","Malachius_bipustulatus","Meligethes_sp.","Mordellidae","Nemotelus_sp.","Odontomyia_sp.","Psilothrix_viridicoerulea","Sphaerophoria_scripta"
"4 A1 LEMA",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"4 A2 LEMA",0,0,0,0,0,0,0,0,0,0,4,0,1,1,3,0
"4 B2 LEMA",1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0
"4 B4 LEMA",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4 B6 LEMA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"4 C1 LEMA",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"4 C2 LEMA",1,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0
"4 C3 LEMA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"4 C4 LEMA",1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2
"4 C5 LEMA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"4 C6 LEMA",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"4 D2 LEMA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"4 D5 LEMA",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
"4 E1 LEMA",0,0,0,0,3,0,0,0,0,0,1,0,0,0,3,0
"4 E2 LEMA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"4 E4 LEMA",0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1
"4 E5 LEMA",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"4 F1 LEMA",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"4 F2 LEMA",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"4 F3 LEMA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"4 F4 LEMA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"4 F6 LEMA",0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0
"5 A1 LEMA",0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
"5 A2 LEMA",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4
"5 A3 LEMA",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"5 A4 LEMA",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"5 A6 LEMA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"5 B2 LEMA",0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0
"5 B4 LEMA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"5 B5 LEMA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"5 C1 LEMA",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
"5 C3 LEMA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"5 C4 LEMA",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
"5 C5 LEMA",0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
"5 D1 LEMA",0,0,0,0,8,0,0,0,0,1,1,1,0,0,1,0
"5 D2 LEMA",0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0
"5 D4 LEMA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"5 D5 LEMA",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"5 E1 LEMA",0,0,0,0,2,0,0,0,1,0,0,0,0,0,4,1
"5 E5 LEMA",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"5 F1 LEMA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"5 F4 LEMA",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
"6 A1 LEMA",0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0
"6 A3 LEMA",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"6 A4 LEMA",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"6 A6 LEMA",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"6 B1 LEMA",0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0
"6 B2 LEMA",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"6 B3 LEMA",0,0,0,0,2,0,4,0,0,0,1,0,0,0,1,0
"6 B4 LEMA",0,0,1,0,2,0,0,0,1,0,1,0,0,0,1,1
"6 B5 LEMA",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"6 B6 LEMA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
"6 C1 LEMA",0,1,0,1,2,0,0,0,0,0,0,0,0,0,2,0
"6 C3 LEMA",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"6 C4 LEMA",2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"6 C6 LEMA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"6 D1 LEMA",0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1
"6 D2 LEMA",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"6 D3 LEMA",0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1
"6 D4 LEMA",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"6 D5 LEMA",0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
"6 D6 LEMA",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"6 E1 LEMA",0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0
"6 E2 LEMA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"6 F2 LEMA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"6 F3 LEMA",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"6 F4 LEMA",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"6 F5 LEMA",0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0
"6 F6 LEMA",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
